NMId,ConcIn,Coating,ConcHA,TypeNOM,N_r,N_a,N_g,N_Pe,N_Lo,N_Dl,M_inj,N_as,N_Z1,N_Z2,N_CA
C60,10.0,None,0.0,None,0.000267190569745,0.000619498228994,1.0021192446e-07,13120.7236024,0.40488362522,18.8802236528,0.791681348705,33.6391419474,107.836696655,0.765912418591,5.0
C60,10.0,None,0.0,None,0.000369351669941,0.000324191920651,1.91494931775e-07,18137.4708621,0.40488362522,82.5327042761,0.791681348705,33.6391419474,114.013274276,0.784219753411,5.0
C60,10.0,None,0.0,None,0.000652259332024,0.000103954122909,5.97197186508e-07,32030.0017352,0.40488362522,460.899577407,0.791681348705,33.6391419474,172.681067304,0.73294550115,5.0
C60,10.0,None,0.0,None,0.000361493123772,0.000338440431341,1.8343289979e-07,17751.5672267,0.40488362522,8.07766892915,0.791681348705,33.6391419474,261.32794525,0.848525031296,5.0
C60,10.0,None,0.0,None,0.000381139489194,0.000304448911773,2.03913061687e-07,18716.3263151,0.40488362522,85.166726753,0.791681348705,33.6391419474,241.322219446,0.87755474847,5.0
C60,10.0,None,0.0,None,0.000992141453831,4.49298666542e-05,1.38173367406e-06,48720.3339647,0.40488362522,701.067128285,0.791681348705,33.6391419474,737.18414508,0.683659547607,5.0
TiO2,50.0,None,0.0,None,0.000889980353635,5.58369235437e-05,5.3459174224e-06,43703.5867049,0.40488362522,3.97737394011,0.791681348705,33.6391419474,355.564792481,-0.751527278728,5.0
TiO2,50.0,None,0.0,None,0.00184872298625,1.29401299898e-05,2.30677421804e-05,90783.8302193,0.40488362522,82.6205050253,0.791681348705,33.6391419474,581.772546636,-0.807720388139,5.0
TiO2,50.0,None,0.0,None,0.00212180746562,9.82359331574e-06,3.03859873665e-05,104193.981548,0.40488362522,299.862375663,0.791681348705,33.6391419474,591.74456279,-0.803674054587,5.0
TiO2,50.0,None,0.0,None,0.000913555992141,5.29922036928e-05,5.63289619198e-06,44861.297611,0.40488362522,4.08273483919,0.791681348705,33.6391419474,561.964983527,0.60389613954,5.0
TiO2,50.0,None,0.0,None,0.00187819253438,1.25372446686e-05,2.38090258486e-05,92230.9688519,0.40488362522,83.9375162638,0.791681348705,33.6391419474,978.035524553,0.601464546611,5.0
TiO2,50.0,None,0.0,None,0.00225933202358,8.66407504233e-06,3.44525619789e-05,110947.295167,0.40488362522,319.297900011,0.791681348705,33.6391419474,1012.13403921,0.498622965814,5.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,0.406364310266,2.72434987928,45.9547236374,107.052158721,0.988375775668,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,0.741916330992,2.72434987928,45.9547236374,93.9412440139,0.978441374623,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,2.34614543921,2.72434987928,45.9547236374,83.6770359232,0.91386818305,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,5.55199344045,2.72434987928,45.9547236374,78.4105024079,0.872691955381,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,6.42518390122,2.72434987928,45.9547236374,75.0978503776,0.850614004783,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,6.63590139887,2.72434987928,45.9547236374,73.3261294738,0.846874989896,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,1.80728333676e-06,4.65530910234e-11,17598726.269,1.82197631349,7.41916330992,2.72434987928,45.9547236374,70.8764327082,0.841984361435,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,1.81731644277,2.72434987928,45.9547236374,31.8475386879,0.999635614356,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,2.22574899298,2.72434987928,45.9547236374,26.886715737,0.999664554634,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,2.57007356049,2.72434987928,45.9547236374,24.0146296786,0.997289314931,6.0
TiO2,20.0,None,0.0,None,0.000307272727273,0.0131116634235,3.37738111346e-07,2425.77037761,1.82197631349,3.14768441231,2.72434987928,45.9547236374,20.6120144389,0.979997424733,6.0
TiO2,100.0,None,0.0,None,0.00105454545455,6.64017118685e-05,1.06777370936e-06,31015.1868677,0.40488362522,25.4622172767,0.731598389205,26.6975437361,149.324946144,-0.603039950233,6.66666666667
TiO2,200.0,None,0.0,None,0.00104363636364,6.77971563105e-05,1.04579610781e-06,30694.340107,0.40488362522,25.198815029,0.731598389205,26.6975437361,147.780205322,-0.603039950233,6.66666666667
TiO2,100.0,None,0.0,None,0.00432727272727,3.94349549335e-06,1.7979480973e-05,127269.215078,0.40488362522,104.482891584,0.731598389205,26.6975437361,698.885814561,0.912991453296,6.66666666667
TiO2,200.0,None,0.0,None,0.00490909090909,3.06413386455e-06,2.31393291952e-05,144381.042315,0.40488362522,118.53101146,0.731598389205,26.6975437361,792.853655174,0.912991453296,6.66666666667
TiO2,100.0,None,0.0,None,0.00105454545455,1.32803423737e-05,2.13554741873e-07,155075.934339,0.40488362522,25.4622172767,0.731598389205,26.6975437361,91.7941352424,-0.741521675853,6.66666666667
TiO2,200.0,None,0.0,None,0.00104363636364,1.35594312621e-05,2.09159221562e-07,153471.700535,0.40488362522,25.198815029,0.731598389205,26.6975437361,90.8445407399,-0.741521675853,6.66666666667
TiO2,100.0,None,0.0,None,0.00432727272727,7.88699098671e-07,3.59589619461e-06,636346.07539,0.40488362522,104.482891584,0.731598389205,26.6975437361,272.959969445,0.999520687159,6.66666666667
TiO2,200.0,None,0.0,None,0.00490909090909,6.12826772909e-07,4.62786583904e-06,721905.211577,0.40488362522,118.53101146,0.731598389205,26.6975437361,309.660469538,0.999520687159,6.66666666667
TiO2,100.0,None,0.0,None,0.00389090909091,4.87761723132e-06,1.45361964311e-05,114435.34465,0.40488362522,297.085872184,0.731598389205,26.6975437361,304.030205107,-0.507910872717,6.66666666667
TiO2,200.0,None,0.0,None,0.00378181818182,5.16307689362e-06,1.37325094417e-05,111226.877043,0.40488362522,288.756361749,0.731598389205,26.6975437361,295.505993749,-0.507910872717,6.66666666667
TiO2,100.0,None,0.0,None,0.00487272727273,3.1100378526e-06,2.27977939659e-05,143311.553113,0.40488362522,372.0514661,0.731598389205,26.6975437361,305.948878241,0.999649679817,6.66666666667
TiO2,200.0,None,0.0,None,0.00465454545455,3.40843748055e-06,2.08019077934e-05,136894.617899,0.40488362522,355.39244523,0.731598389205,26.6975437361,292.249674738,0.999649679817,6.66666666667
TiO2,100.0,None,0.0,None,0.00389090909091,9.75523446264e-07,2.90723928621e-06,572176.72325,0.40488362522,297.085872184,0.731598389205,26.6975437361,304.030205107,-0.507910872717,6.66666666667
TiO2,200.0,None,0.0,None,0.00378181818182,1.03261537872e-06,2.74650188834e-06,556134.385215,0.40488362522,288.756361749,0.731598389205,26.6975437361,295.505993749,-0.507910872717,6.66666666667
TiO2,100.0,None,0.0,None,0.00487272727273,6.22007570521e-07,4.55955879319e-06,716557.765565,0.40488362522,372.0514661,0.731598389205,26.6975437361,305.948878241,0.999649679817,6.66666666667
TiO2,200.0,None,0.0,None,0.00465454545455,6.8168749611e-07,4.16038155868e-06,684473.089495,0.40488362522,355.39244523,0.731598389205,26.6975437361,292.249674738,0.999649679817,6.66666666667
TiO2,50.0,None,0.0,None,0.0025,1.75725117309e-06,2.56630916562e-07,481014.28239,0.393951767339,138.825173918,24.1745554694,43.072155102,159.262889586,-0.964460866644,20.0
TiO2,50.0,None,0.0,None,0.0025,8.25908051352e-06,1.20616530784e-06,102343.464338,0.393951767339,138.825173918,24.1745554694,43.072155102,159.262889586,-0.964460866644,20.0
TiO2,50.0,None,0.0,None,0.0025,3.65446040421e-06,5.33701463648e-07,231296.229405,0.393951767339,138.825173918,24.1745554694,43.072155102,159.262889586,-0.964460866644,20.0
TiO2,50.0,IronOxide,1.0,SRHA,0.000956862745098,6.67832742792e-05,1.24078199167e-05,23586.3695406,0.280989235903,42.8467656242,1.18752202306,33.6391419474,321.204194911,-0.862780595564,5.0
TiO2,50.0,IronOxide,10.0,SRHA,0.000990196078431,6.2362654916e-05,1.32873567012e-05,24408.0258566,0.280989235903,44.3393783611,1.18752202306,33.6391419474,372.588041092,-0.829224193994,5.0
TiO2,50.0,IronOxide,1.0,SRHA,0.000964705882353,6.5701781636e-05,1.26120604353e-05,23779.7004385,0.280989235903,136.603971135,1.18752202306,33.6391419474,348.06984516,-0.776806892879,5.0
TiO2,50.0,IronOxide,10.0,SRHA,0.000947058823529,6.81731074759e-05,1.21548638662e-05,23344.7059183,0.280989235903,134.105118005,1.18752202306,33.6391419474,328.738073945,-0.788420498208,5.0
TiO2,50.0,IronOxide,0.0,None,0.000890196078431,7.71606089287e-05,1.07390915158e-05,21943.0569087,0.280989235903,6.90422128084,1.18752202306,33.6391419474,194.552050492,0.972890117813,5.0
TiO2,50.0,IronOxide,0.0,None,0.000907843137255,7.41899998132e-05,1.11690907506e-05,22378.0514289,0.280989235903,15.7443538713,1.18752202306,33.6391419474,169.46620969,0.972215242549,5.0
TiO2,50.0,IronOxide,0.0,None,0.00105098039216,5.53576662047e-05,1.49687459301e-05,25906.3403151,0.280989235903,25.7764816926,1.18752202306,33.6391419474,148.072257357,0.961594161112,5.0
TiO2,50.0,IronOxide,1.0,SRHA,0.000917647058824,7.26132116569e-05,1.14116263665e-05,22619.7150512,0.280989235903,22.5063310301,1.18752202306,33.6391419474,155.254995155,0.998119022769,5.0
TiO2,50.0,IronOxide,10.0,SRHA,0.000917647058824,7.26132116569e-05,1.14116263665e-05,22619.7150512,0.280989235903,22.5063310301,1.18752202306,33.6391419474,196.190125633,-0.987094979339,5.0
TiO2,50.0,IronOxide,1.0,SRHA,0.000925490196078,7.13876942238e-05,1.16075305375e-05,22813.0459491,0.280989235903,41.4419536365,1.18752202306,33.6391419474,306.572166462,-0.797838599023,5.0
TiO2,50.0,IronOxide,10.0,SRHA,0.000937254901961,6.96067824003e-05,1.19045129243e-05,23103.0422959,0.280989235903,41.9687581319,1.18752202306,33.6391419474,323.723069667,-0.785288296412,5.0
TiO2,50.0,IronOxide,1.0,SRHA,0.000945098039216,6.84562768803e-05,1.21045852691e-05,23296.3731938,0.280989235903,133.827467657,1.18752202306,33.6391419474,302.344552846,-0.766680167215,5.0
TiO2,50.0,IronOxide,10.0,SRHA,0.000998039215686,6.1386346625e-05,1.34986831154e-05,24601.3567544,0.280989235903,141.324027048,1.18752202306,33.6391419474,346.303413558,-0.742395220768,5.0
TiO2,50.0,IronOxide,0.0,None,0.000909803921569,7.38705599265e-05,1.12173894651e-05,22426.3841534,0.280989235903,7.05629663945,1.18752202306,33.6391419474,139.942470385,-0.981148782642,5.0
TiO2,50.0,IronOxide,0.0,None,0.00108823529412,5.1632289814e-05,1.60487718768e-05,26824.66208,0.280989235903,18.8728215951,1.18752202306,33.6391419474,132.640011,-0.960387669788,5.0
TiO2,50.0,IronOxide,0.0,None,0.00151764705882,2.65476101028e-05,3.1213161467e-05,37409.5287386,0.280989235903,37.2220090114,1.18752202306,33.6391419474,167.502574787,-0.941771517722,5.0
TiO2,50.0,IronOxide,1.0,SRHA,0.000890196078431,7.71606089287e-05,1.07390915158e-05,21943.0569087,0.280989235903,21.8330647173,1.18752202306,33.6391419474,178.752333951,-0.964102341128,5.0
TiO2,50.0,IronOxide,10.0,SRHA,0.000894117647059,7.64852457965e-05,1.08339174709e-05,22039.7223576,0.280989235903,21.9292456191,1.18752202306,33.6391419474,166.330499782,-0.978298097159,5.0
ZnO,5.0,None,0.0,None,0.00083137254902,4.43349013092e-05,6.15107983918e-06,40986.1503492,0.281637049703,151.218891644,12.6669015793,33.6391419474,285.344810969,0.633679807237,5.0
ZnO,5.0,None,0.0,None,0.000856862745098,4.1736361492e-05,6.53405107361e-06,42242.8011854,0.281637049703,269.949332741,12.6669015793,33.6391419474,246.548934576,0.507071694678,5.0
ZnO,5.0,None,0.0,None,0.000896078431373,3.81632242326e-05,7.14581964964e-06,44176.1101642,0.281637049703,364.452888179,12.6669015793,33.6391419474,193.141946747,0.503744043567,5.0
ZnO,5.0,None,0.0,None,0.000994117647059,3.1007127893e-05,8.79499444632e-06,49009.382611,0.281637049703,571.80526953,12.6669015793,33.6391419474,146.688029655,0.435883107064,5.0
ZnO,5.0,None,0.0,None,0.000758823529412,5.32176299352e-05,5.12438299014e-06,37409.5287386,0.281637049703,251.994192255,12.6669015793,33.6391419474,595.006990058,0.787142011002,5.0
ZnO,5.0,None,0.0,None,0.000947058823529,3.41651394526e-05,7.98204023119e-06,46689.4118365,0.281637049703,994.550173258,12.6669015793,33.6391419474,581.909649414,0.595012877315,5.0
ZnO,5.0,None,0.0,None,0.0011431372549,2.34498651553e-05,1.1629385321e-05,56355.9567302,0.281637049703,1697.70848499,12.6669015793,33.6391419474,558.966009164,0.493343914294,5.0
ZnO,5.0,None,0.0,None,0.00118235294118,2.19201153375e-05,1.24409709263e-05,58289.2657089,0.281637049703,877.974456645,12.6669015793,33.6391419474,546.682381634,0.420663103399,5.0
ZnO,5.0,None,0.0,None,0.00083137254902,4.43603957895e-05,6.15107983918e-06,40986.1503492,0.281799003153,151.218891644,12.6669015793,33.6391419474,286.355971311,0.632702564734,5.0
ZnO,5.0,None,1.0,Alg,0.000594117647059,1.92199985132e-05,3.14126740475e-06,29289.6310279,0.0623520782839,108.064443793,12.6669015793,33.6391419474,238.035188572,0.850837156935,5.0
ZnO,5.0,None,1.0,SRHA,0.00056862745098,2.09817936206e-05,2.87750208301e-06,28032.9801917,0.0623520782839,103.428015511,12.6669015793,33.6391419474,234.17713795,0.875048583711,5.0
ZnO,5.0,None,0.0,None,0.000856862745098,4.17603616999e-05,6.53405107361e-06,42242.8011854,0.281799003153,269.949332741,12.6669015793,33.6391419474,252.284467182,0.572972438675,5.0
ZnO,5.0,None,1.0,Alg,0.000611764705882,1.81271454172e-05,3.33064878441e-06,30159.6200683,0.0623520782839,192.732704383,12.6669015793,33.6391419474,190.651820081,0.694941634241,5.0
ZnO,5.0,None,1.0,SRHA,0.000627450980392,1.72321176123e-05,3.50364106183e-06,30932.9436598,0.0623520782839,197.674568598,12.6669015793,33.6391419474,182.773903508,0.543915810858,5.0
ZnO,5.0,None,0.0,None,0.000896078431373,3.81851697325e-05,7.14581964964e-06,44176.1101642,0.281799003153,364.452888179,12.6669015793,33.6391419474,198.076194367,0.576038180921,5.0
ZnO,5.0,None,1.0,Alg,0.000598039215686,1.89687594033e-05,3.18287314236e-06,29482.9619257,0.0623520782839,243.234422089,12.6669015793,33.6391419474,150.603548781,0.803518976858,5.0
ZnO,5.0,None,1.0,SRHA,0.000613725490196,1.80115020414e-05,3.35203331237e-06,30256.2855172,0.0623520782839,249.614341357,12.6669015793,33.6391419474,139.14188729,0.635648383387,5.0
ZnO,5.0,None,0.0,None,0.000994117647059,3.10249583288e-05,8.79499444632e-06,49009.382611,0.281799003153,571.80526953,12.6669015793,33.6391419474,150.931330865,0.532251365771,5.0
ZnO,5.0,None,1.0,Alg,0.000652941176471,1.59129295376e-05,3.79409427447e-06,32189.594496,0.0623520782839,375.564407798,12.6669015793,33.6391419474,101.818086707,0.602818128091,5.0
ZnO,5.0,None,1.0,SRHA,0.000629411764706,1.7124919629e-05,3.52557303372e-06,31029.6091087,0.0623520782839,362.030555265,12.6669015793,33.6391419474,97.6337828491,0.590051672517,5.0
ZnO,5.0,None,0.0,None,0.0011431372549,2.34633498391e-05,1.1629385321e-05,56355.9567302,0.281799003153,1200.46118221,12.6669015793,33.6391419474,573.687314137,0.569699898516,5.0
ZnO,5.0,None,1.0,SRHA,0.000586274509804,1.97376857473e-05,3.0588770954e-06,28902.9692321,0.0623520782839,615.673916779,12.6669015793,33.6391419474,320.613428966,0.740644817952,5.0
ZnO,5.0,None,1.0,Alg,0.000625490196078,1.73403253063e-05,3.48177752044e-06,30836.2782109,0.0623520782839,656.85611857,12.6669015793,33.6391419474,336.823358396,0.716209125895,5.0
ZnO,5.0,None,0.0,None,0.000758823529412,5.32482323676e-05,5.12438299014e-06,37409.5287386,0.281799003153,251.994192255,12.6669015793,33.6391419474,595.006990058,0.787142011002,5.0
ZnO,5.0,None,1.0,SRHA,0.000562745098039,2.1422729953e-05,2.81827549436e-06,27742.9838449,0.0623520782839,186.879413894,12.6669015793,33.6391419474,560.885476205,0.962313459166,5.0
ZnO,5.0,None,1.0,Alg,0.000586274509804,1.97376857473e-05,3.0588770954e-06,28902.9692321,0.0623520782839,194.693187298,12.6669015793,33.6391419474,566.080552843,0.949765025909,5.0
ZnO,5.0,None,0.0,None,0.00118235294118,2.19327203492e-05,1.24409709263e-05,58289.2657089,0.281799003153,1755.94891329,12.6669015793,33.6391419474,554.883377241,0.476768522394,5.0
ZnO,5.0,None,1.0,SRHA,0.00061568627451,1.78969617783e-05,3.37348627083e-06,30352.9509662,0.0623520782839,914.374724334,12.6669015793,33.6391419474,305.33938969,0.62809735487,5.0
ZnO,5.0,None,1.0,Alg,0.000629411764706,1.7124919629e-05,3.52557303372e-06,31029.6091087,0.0623520782839,934.758874239,12.6669015793,33.6391419474,307.139497241,0.590386115929,5.0
ZnO,5.0,None,0.0,None,0.000947058823529,3.41847858813e-05,7.98204023119e-06,46689.4118365,0.281799003153,703.253171741,12.6669015793,33.6391419474,598.309072734,0.656556330796,5.0
ZnO,5.0,None,1.0,SRHA,0.000566666666667,2.11272475604e-05,2.8576914563e-06,27936.3147428,0.0623520782839,420.787094478,12.6669015793,33.6391419474,397.227242343,0.813894270689,5.0
ZnO,5.0,None,1.0,Alg,0.000592156862745,1.93474940079e-05,3.12056718168e-06,29192.9655789,0.0623520782839,439.715233676,12.6669015793,33.6391419474,400.748775288,0.770356566923,5.0
CuO,9.62,None,1.0,TRIZMA,0.001171875,4.5169559555e-05,1.88170793679e-06,41029.0854794,0.40488362522,0.3,2.09936929076,29.91460245,241.177947728,0.142034951766,20.0
CuO,8.65,None,1.0,TRIZMA,0.001171875,4.5169559555e-05,1.88170793679e-06,41029.0854794,0.40488362522,649.346541472,2.09936929076,29.91460245,215.457670482,0.993590592473,20.0
CuO,8.57,None,1.0,TRIZMA,0.001171875,4.5169559555e-05,1.88170793679e-06,41029.0854794,0.40488362522,0.3,2.09936929076,29.91460245,197.277698398,0.589364679339,20.0
CuO,4.32,None,10.0,SRHA,0.001171875,4.5169559555e-05,1.88170793679e-06,41029.0854794,0.40488362522,0.3,2.09936929076,29.91460245,153.09281235,0.938380896913,20.0
CuO,5.57,None,1.0,SRHA,0.001171875,4.5169559555e-05,1.88170793679e-06,41029.0854794,0.40488362522,0.3,2.09936929076,29.91460245,122.492082473,0.992866501674,20.0
CuO,4.41,None,1.0,SRHA,0.001171875,4.5169559555e-05,1.88170793679e-06,41029.0854794,0.40488362522,0.3,2.09936929076,29.91460245,105.954848872,0.955830376798,20.0
CuO,11.2,None,5.0,SRHA,0.001171875,4.5169559555e-05,1.88170793679e-06,41029.0854794,0.40488362522,0.3,2.09936929076,29.91460245,134.860055791,0.955232090721,20.0
CuO,7.45,None,1.0,SRHA,0.001171875,4.5169559555e-05,1.88170793679e-06,41029.0854794,0.40488362522,0.3,2.09936929076,29.91460245,112.7740325,0.97646441199,20.0
CuO,4.98,None,1.0,FA,0.001171875,4.5169559555e-05,1.88170793679e-06,41029.0854794,0.40488362522,0.3,2.09936929076,29.91460245,119.019006627,0.988397180803,20.0
ZnO,5.035,None,0.0,None,0.00056640625,0.00101252037078,7.05622865505e-07,7157.29602252,0.765230051666,0.0417263117891,2.79915905435,29.91460245,74.6412908047,-0.833256351039,20.0
ZnO,8.19,None,1.0,FA,0.00056640625,0.00101252037078,7.05622865505e-07,7157.29602252,0.765230051666,0.0343346859185,2.79915905435,29.91460245,59.8157721572,0.979250481274,20.0
ZnO,8.61,None,1.0,HA,0.00056640625,0.00101252037078,7.05622865505e-07,7157.29602252,0.765230051666,0.0401314605128,2.79915905435,29.91460245,64.3666499338,0.99305830807,20.0
ZnO,8.17,None,1.0,HA,0.00056640625,0.00101252037078,7.05622865505e-07,7157.29602252,0.765230051666,0.0340796045542,2.79915905435,29.91460245,59.8757610006,0.990787231102,20.0
ZnO,7.405,None,1.0,FA,0.00056640625,0.00101252037078,7.05622865505e-07,7157.29602252,0.765230051666,0.0376080696115,2.79915905435,29.91460245,51.1370413793,0.944169897185,20.0
ZnO,6.61,None,0.768496,Citric,0.00056640625,0.00101252037078,7.05622865505e-07,7157.29602252,0.765230051666,0.0357169324959,2.79915905435,29.91460245,79.8061923176,0.560391565614,20.0
